         10166 function calls (9402 primitive calls) in 0.117 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.115    0.115 /Users/vedantthakkar/Desktop/MLOPs/ms-potts-mlops/src/ms_potts/retriever_who.py:63(embed_query)
      2/1    0.000    0.000    0.115    0.115 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/SentenceTransformer.py:522(encode)
        1    0.000    0.000    0.109    0.109 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/SentenceTransformer.py:751(forward)
    116/3    0.000    0.000    0.109    0.036 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:1747(_wrapped_call_impl)
    116/3    0.000    0.000    0.109    0.036 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:1755(_call_impl)
        1    0.000    0.000    0.097    0.097 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/models/Transformer.py:434(forward)
        1    0.000    0.000    0.097    0.097 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:900(forward)
        1    0.002    0.002    0.047    0.047 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:148(forward)
        3    0.000    0.000    0.038    0.013 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/sparse.py:189(forward)
        3    0.000    0.000    0.038    0.013 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/functional.py:2437(embedding)
        3    0.038    0.013    0.038    0.013 {built-in method torch.embedding}
        1    0.026    0.026    0.029    0.029 /opt/miniconda3/lib/python3.13/site-packages/transformers/modeling_attn_mask_utils.py:429(_prepare_4d_attention_mask_for_sdpa)
        1    0.000    0.000    0.017    0.017 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:618(forward)
        6    0.000    0.000    0.017    0.003 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:540(forward)
       37    0.000    0.000    0.010    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/linear.py:124(forward)
       37    0.010    0.000    0.010    0.000 {built-in method torch._C._nn.linear}
        1    0.004    0.004    0.009    0.009 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/models/Pooling.py:137(forward)
        6    0.000    0.000    0.009    0.002 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:472(forward)
        6    0.000    0.000    0.008    0.001 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:331(forward)
       13    0.000    0.000    0.008    0.001 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/normalization.py:216(forward)
       13    0.000    0.000    0.008    0.001 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/functional.py:2889(layer_norm)
       13    0.008    0.001    0.008    0.001 {built-in method torch.layer_norm}
        6    0.000    0.000    0.007    0.001 /opt/miniconda3/lib/python3.13/site-packages/transformers/pytorch_utils.py:178(apply_chunking_to_forward)
